Employee ID,Employee Name,Date,Active Start Time ( AM ),Active Screen Time ( in hours ),Active Collaboration Time ( in hours ),Social Time ( in hours ),Percentage of Task Closed,Role,Rating
1,Jane Smith,2023-01-01,08:11,1.7499999999999996,1.84,0.41,84,Marketing Specialist,1
1,Jane Smith,2023-01-02,09:33,1.93,1.42,1.28,63,Marketing Specialist,1
1,Jane Smith,2023-01-03,08:53,5.4,1.95,1.34,94,Marketing Specialist,3
1,Jane Smith,2023-01-04,08:20,5.14,1.35,1.83,69,Marketing Specialist,2
1,Jane Smith,2023-01-05,08:56,3.12,1.91,1.81,84,Marketing Specialist,2
1,Jane Smith,2023-01-06,08:46,3.4,1.37,0.1,86,Marketing Specialist,1
1,Jane Smith,2023-01-07,09:03,2.44,1.08,0.48,82,Marketing Specialist,4
1,Jane Smith,2023-01-08,08:55,2.95,1.69,0.94,80,Marketing Specialist,1
1,Jane Smith,2023-01-09,09:56,2.21,1.36,0.43,68,Marketing Specialist,4
1,Jane Smith,2023-01-10,09:44,1.9100000000000001,1.23,0.86,74,Marketing Specialist,2
1,Jane Smith,2023-01-11,09:36,4.51,1.41,0.42,96,Marketing Specialist,3
1,Jane Smith,2023-01-12,09:45,5.4,1.08,1.33,97,Marketing Specialist,3
1,Jane Smith,2023-01-13,09:35,2.25,1.71,0.04,88,Marketing Specialist,2
1,Jane Smith,2023-01-14,08:51,1.13,1.07,1.91,91,Marketing Specialist,1
1,Jane Smith,2023-01-15,09:34,4.84,1.26,0.97,98,Marketing Specialist,2
1,Jane Smith,2023-01-16,08:11,4.66,1.31,1.58,86,Marketing Specialist,4
1,Jane Smith,2023-01-17,09:40,1.92,1.45,0.63,87,Marketing Specialist,2
1,Jane Smith,2023-01-18,08:16,2.48,1.35,1.19,79,Marketing Specialist,4
1,Jane Smith,2023-01-19,09:28,2.11,1.96,1.49,90,Marketing Specialist,2
1,Jane Smith,2023-01-20,09:28,1.8799999999999997,1.34,0.78,74,Marketing Specialist,2
1,Jane Smith,2023-01-21,09:51,4.78,1.01,0.72,70,Marketing Specialist,4
1,Jane Smith,2023-01-22,09:10,2.68,1.89,0.93,100,Marketing Specialist,2
1,Jane Smith,2023-01-23,08:56,2.79,1.12,0.91,95,Marketing Specialist,4
1,Jane Smith,2023-01-24,08:59,2.17,1.25,1.96,67,Marketing Specialist,4
1,Jane Smith,2023-01-25,08:17,1.9,1.35,0.75,70,Marketing Specialist,2
1,Jane Smith,2023-01-26,08:57,2.03,1.01,0.96,91,Marketing Specialist,1
1,Jane Smith,2023-01-27,09:22,5.13,1.37,0.75,73,Marketing Specialist,3
1,Jane Smith,2023-01-28,08:08,3.86,1.96,1.78,93,Marketing Specialist,2
1,Jane Smith,2023-01-29,09:22,1.46,1.85,0.69,67,Marketing Specialist,4
1,Jane Smith,2023-01-30,09:53,2.2,1.38,0.42,65,Marketing Specialist,1
1,Jane Smith,2023-01-31,09:21,4.73,1.44,1.71,65,Marketing Specialist,1
1,Jane Smith,2023-02-01,08:29,2.8699999999999997,1.01,0.12,65,Marketing Specialist,2
1,Jane Smith,2023-02-02,09:48,4.14,1.68,1.07,68,Marketing Specialist,1
1,Jane Smith,2023-02-03,08:41,4.45,1.24,0.39,82,Marketing Specialist,4
1,Jane Smith,2023-02-04,08:51,3.09,1.64,0.23,90,Marketing Specialist,4
1,Jane Smith,2023-02-05,09:42,3.63,1.85,1.74,97,Marketing Specialist,2
1,Jane Smith,2023-02-06,09:47,1.86,1.73,0.95,83,Marketing Specialist,1
1,Jane Smith,2023-02-07,08:04,2.05,1.64,0.31,67,Marketing Specialist,2
1,Jane Smith,2023-02-08,09:45,4.06,1.89,0.55,89,Marketing Specialist,1
1,Jane Smith,2023-02-09,08:33,2.29,1.24,0.47,97,Marketing Specialist,1
1,Jane Smith,2023-02-10,09:05,3.9,1.26,1.39,60,Marketing Specialist,3
1,Jane Smith,2023-02-11,09:55,3.51,1.31,1.21,82,Marketing Specialist,1
1,Jane Smith,2023-02-12,09:03,4.37,1.4,0.99,99,Marketing Specialist,1
1,Jane Smith,2023-02-13,09:14,3.39,1.75,1.46,67,Marketing Specialist,4
1,Jane Smith,2023-02-14,08:19,2.35,1.61,1.24,60,Marketing Specialist,1
1,Jane Smith,2023-02-15,08:17,3.1,1.52,1.82,71,Marketing Specialist,4
1,Jane Smith,2023-02-16,09:05,1.57,1.22,1.65,73,Marketing Specialist,1
1,Jane Smith,2023-02-17,09:40,4.68,1.06,0.59,99,Marketing Specialist,4
1,Jane Smith,2023-02-18,09:21,5.19,1.59,1.36,61,Marketing Specialist,3
1,Jane Smith,2023-02-19,09:01,1.93,1.36,1.01,82,Marketing Specialist,4
1,Jane Smith,2023-02-20,08:42,4.93,1.68,0.31,81,Marketing Specialist,3
1,Jane Smith,2023-02-21,09:33,2.45,1.34,0.96,73,Marketing Specialist,3
1,Jane Smith,2023-02-22,09:25,2.26,1.59,0.43,79,Marketing Specialist,2
1,Jane Smith,2023-02-23,08:37,3.89,1.36,1.82,71,Marketing Specialist,3
1,Jane Smith,2023-02-24,09:18,2.62,1.36,1.44,92,Marketing Specialist,3
